id,prompt,A,B,C,D,E,answer
35,What is the main purpose of statistical mechanics?,To explain the behavior of microscopic entities,To study the properties of matter in aggregate,To develop models of probability distribution,To understand thermodynamic equilibrium,To analyze chemical reactions and flows of particles,B
36,Who developed the fundamental interpretation of entropy?,Ludwig Boltzmann,James Clerk Maxwell,Josiah Willard Gibbs,Rudolf Clausius,Daniel Bernoulli,A
37,Which physicist formulated the Maxwell distribution of molecular velocities?,Ludwig Boltzmann,James Clerk Maxwell,Josiah Willard Gibbs,Rudolf Clausius,Daniel Bernoulli,B
38,What is the name of the field coined by Josiah Willard Gibbs in 1884?,Statistical mechanics,Statistical physics,Statistical thermodynamics,Quantum mechanics,Classical thermodynamics,A
39,What did Ludwig Boltzmann develop in terms of entropy?,A collection of microstates,Models of probability distribution,The foundations of statistical mechanics,The kinetic theory of gases,The Maxwell distribution of molecular velocities,A
40,What is intelligent automation?,A combination of AI and RPA used to replace workers,A technology used to build self-driving cars,A concept identified as one of the top technology trends of 2020,A software that improves efficiency in digital business processes,A technology used to automate the workflow behind distributing Covid-19 vaccines,A
41,How does intelligent automation improve efficiency in business processes?,By applying the assembly line concept,By using machine learning to build predictive analytics,By replacing humans with software robots,By automating the workflow behind distributing Covid-19 vaccines,By providing real-time insights on profitability and efficiency,C
42,What are some common applications of intelligent automation?,Self-driving cars and smart home assistants,Self-checkouts at grocery stores and appliances,Implementing RPA to improve manufacturing floor operations,Distributing Covid-19 vaccines,All of the above,E
43,How is data and machine learning used in intelligent automation?,To automate the workflow behind distributing Covid-19 vaccines,To improve manufacturing floor operations,To build predictive analytics that react to consumer behavior changes,To provide real-time insights on profitability and efficiency,None of the above,C
44,What can intelligent automation provide insights on?,Consumer behavior changes,Profitability and efficiency,Manufacturing floor operations,Covid-19 vaccine distribution,None of the above,B
45,What is the purpose of prescriptive analytics?,To analyze past performance,To suggest decision options for the future,To understand the reasons behind past success or failure,To predict future events,To enable an enterprise to consider the best course of action,E
46,Which phase of business analytics is prescriptive analytics?,The first phase,The second phase,The third and final phase,The post-mortem analysis phase,The predictive analytics phase,C
47,What does descriptive analytics focus on?,Analyzing past performance,Predicting future events,Suggesting decision options for the future,Understanding the reasons behind past success or failure,Enabling an enterprise to consider the best course of action,A
48,What is the main purpose of predictive analytics?,To analyze past performance,To suggest decision options for the future,To understand the reasons behind past success or failure,To predict future events,To enable an enterprise to consider the best course of action,D
49,Which phase of business analytics looks for the reasons behind past success or failure?,Prescriptive analytics,Descriptive analytics,Predictive analytics,Post-mortem analysis,"Sales, marketing, operations, and finance",B
50,What is Diophantine geometry?,The study of equations in algebraic geometry,The study of number theory,The study of calculus,The study of differential equations,The study of topology,A
51,"Who coined the term ""Diophantine Geometry""?",Serge Lang,Mordell,C. F. Gauss,L.,Roth,A
52,What are the four theorems in Diophantine geometry of fundamental importance?,"Mordell–Weil theorem, Roth's theorem, Siegel's theorem, Faltings's theorem","Gauss's theorem, Lang's theorem, Mordell's theorem, Roth's theorem","Riemann's theorem, Euler's theorem, Fermat's theorem, Pythagorean theorem","Einstein's theorem, Newton's theorem, Pythagorean theorem, Pascal's theorem","Siegel's theorem, Fermat's theorem, Riemann's theorem, Faltings's theorem",A
53,What field is Diophantine geometry part of?,Algebraic geometry,Number theory,Calculus,Differential equations,Topology,A
54,What book did Serge Lang publish in 1962?,Mordell's Diophantine Equations,Diophantine Geometry,Gauss's Diophantine Equations,Lang's Arithmetic Geometry,Roth's Theorem,B
55,Where is Envigo headquartered?,"Los Angeles, California","Indianapolis, Indiana","New York City, New York","Chicago, Illinois","Houston, Texas",B
56,How many people does Envigo employ?,500 people,800 people,"1,200 people","1,500 people","2,000 people",C
57,Which organization accredited many of Envigo's breeding sites?,National Institutes of Health (NIH),Association for Assessment and Accreditation of Laboratory Animal Care (AAALAC),Food and Drug Administration (FDA),World Health Organization (WHO),Environmental Protection Agency (EPA),B
58,Which facility of Envigo had multiple violations of the Animal Welfare Act?,"Horst, the Netherlands","Livermore, CA","Cumberland, Virginia","St Louis, MO","Indianapolis, IN",C
59,"What happened to the beagles at Envigo's Cumberland, Virginia facility?",They were released into the wild.,They were transferred to another facility.,They were sold to pharmaceutical companies.,They were euthanized.,They were adopted by employees.,B
60,What is the purpose of Integrated information theory (IIT)?,To explain why some physical systems are conscious,To describe the causal properties of physical systems,To test the consciousness of other animals,To determine the degree of consciousness in physical systems,To examine the conscious experience of the whole Universe,A
61,What is the relationship between a system's consciousness and its causal properties in IIT?,They are unrelated,They are identical,They are inversely proportional,They are dependent on each other,They are partially related,B
62,Who proposed Integrated information theory (IIT)?,Giulio Tononi,David Chalmers,Neuroscientist,IIT 3.0,IIT framework,A
63,When was the latest version of IIT (labeled IIT 3.0) published?,2004,2014,2020,The theory is still in development,It was not published,B
64,What is the current status of Integrated information theory (IIT)?,It is widely accepted and extensively tested,It is a fully mature theory,It is still in development,It has been disproven,It is not applicable to physical systems,C
65,What are some essential parts of broadcast engineering?,Mechanical engineering and civil engineering,Audio engineering and RF engineering,Chemical engineering and computer engineering,Electrical engineering and computer science,Industrial engineering and software engineering,B
66,What are the modern duties of a broadcast engineer?,Maintaining radio towers with proper lighting and painting,Designing broadcast automation systems for the studio,Dealing with complaints of RF interference,Working on a contract basis for one or more stations,Managing the entire airchain of a station,C
67,What are some titles used for broadcast engineers?,Civil engineer and mechanical engineer,Broadcast integration engineer and broadcast maintenance engineer,Broadcast IT engineer and broadcast network engineer,Software engineer and industrial engineer,Broadcast systems engineer and video broadcast engineer,E
68,What qualifications do broadcast engineers need?,Degrees in mechanical engineering and electrical engineering,Degrees in chemical engineering and computer science,Degrees in audio engineering and RF engineering,Degrees in industrial engineering and software engineering,Degrees in broadcast technical environment,A
69,What aspects of broadcast engineering does a broadcast engineer deal with?,Only the studio aspect,Only the transmitter aspect,Both the studio and transmitter aspects,Only remote broadcasts,Only radio towers,C
70,What is dance science?,The study of dance and dancers,The study of music and dance,The study of sports medicine,The study of psychology in dance,The study of dance choreography,A
71,What are the aims of dance science?,To enhance performance and reduce injury,To study the history of dance,To improve music in dance performances,To promote different dance styles,To analyze dance costumes,A
72,When did dance medicine and science start to develop?,1970s and 1980s,1960s and 1970s,1990s and 2000s,1980s and 1990s,1950s and 1960s,A
73,Which organization was formed in 1990 to promote dance medicine and science?,American Dance Festival,International Association for Dance Medicine and Science (IADMS),Duke University Hospital,University of Bedfordshire,Trinity Laban Conservatoire of Music and Dance,B
74,How many members does the International Association for Dance Medicine and Science have as of 2016?,48 members,900 members,35 members,500 members,100 members,B
75,When was the Institut für Kunststoffverarbeitung in Industrie und Handwerk (IKV) founded?,1940,1950,1960,1970,1980,B
76,What is the focus of the IKV?,Product development in the automotive industry,Product development in the electronics industry,Product development in the plastics and rubber industry,Product development in the food industry,Product development in the textile industry,C
77,How many companies are currently included in the non-profit association that sponsors the IKV?,100,200,300,400,500,C
78,What is the name of the research association that the IKV is a member of?,"Arbeitsgemeinschaft industrieller Forschungsvereinigungen ""Otto von Guericke"" (AiF)",Deutsche Forschungsgemeinschaft (DFG),Fraunhofer-Gesellschaft,Max Planck Society,Leibniz Association,A
79,Who was the first head of the institute?,Karl Krekeler,A. H.,Karl Krekeler and A. H.,There is no information about the first head,The first head is still the current head,A
80,Who was appointed Principal Medical Officer of the Portuguese Army during the Peninsular War?,Florence Nightingale,James McGrigor,Colonial Surgeon,Superintendents of Hospitals,NHS Scotland,B
81,In which country is the title Principal Medical Officer still used in the health service?,India,Australia,England and Wales,Canada,Ireland,C
82,During which war was the position of Principal Medical Officer in the Crimea established?,Crimean War,Peninsular War,Colonial Surgeon,NHS Scotland,St John Ambulance,A
83,Who made suggestions as to the duties of the Principal Medical Officer in the Crimea?,James McGrigor,Florence Nightingale,Principal Medical Officer,Superintendents of Hospitals,Royal Army Medical Corps,B
84,Who was the senior administrator of the Medical Department in Australia from 1895 to 1911?,Principal Medical Officer,Colonial Surgeon,NHS Scotland,Superintendents of Hospitals,Royal Canadian Navy,A
85,What is the focus of ECS Electrochemistry Letters (EEL)?,Physics,Chemistry,Electrochemical science and technology,Biology,Geology,C
86,When was ECS Electrochemistry Letters (EEL) established?,2010,2012,2014,2016,2018,B
87,Which organization publishes ECS Electrochemistry Letters (EEL)?,American Chemical Society,Electrochemical Society,International Union of Pure and Applied Chemistry,Royal Society of Chemistry,Institute of Electrical and Electronics Engineers,B
88,Who was one of the editors-in-chief of ECS Electrochemistry Letters (EEL)?,Robert Savinell,Gerald S. Frankel,Thomas F. Fuller,Charles L. Hussey,Shelley D.,A
89,When did ECS Electrochemistry Letters (EEL) cease publication?,End of 2012,End of 2013,End of 2014,End of 2015,End of 2016,D
90,What are the reactances of synchronous machines specified in?,Amps,Volts,Ohms,Watts,Joules,C
91,What did Andre Blondel propose in his paper in 1899?,The theory of electrical impedance,The theory of electromagnetic induction,The two reactions theory,The theory of synchronous generators,The theory of electrical resistance,C
92,What are the two components of the armature magnetomotive force (MMF) according to the two reactions theory?,Direct axis and quadrangle axis,Vertical axis and horizontal axis,Parallel axis and perpendicular axis,Direct axis and transverse axis,Longitudinal axis and latitudinal axis,D
93,Which axis is the direct axis component aligned with?,Pole axis,Orthogonal direction,Magnetic axis of the rotor,Quadrature axis,Armature magnetomotive force axis,C
94,What do the relative strengths of the direct and quadrature components depend on?,The size of the machine,The operating conditions,The design of the machine,Both the design of the machine and the operating conditions,None of the above,D
95,What is the difference between chemistry and physics?,Chemistry focuses on matter while physics focuses on energy.,Chemistry studies matter at a molecular level while physics studies matter at a subatomic level.,Chemistry is concerned with the behavior of matter at a large scale while physics is concerned with the behavior of matter at a small scale.,Chemistry and physics have the same scope and approach but different professional roles.,Chemistry and physics are interchangeable and can be used interchangeably.,B
96,What are some fields that combine the two branches of chemistry and physics?,Organic chemistry and astrophysics,Thermochemistry and quantum mechanics,Physical chemistry and chemical physics,Analytical chemistry and particle physics,Inorganic chemistry and classical mechanics,C
97,What is the scope of physics?,Physics only studies matter at a subatomic level.,Physics is concerned with the behavior of matter at a large scale.,Physics studies the fundamental principles of physical phenomena and the basic forces of nature.,Physics focuses on the structure and function of molecules.,Physics is concerned with the behavior of matter at a molecular level.,C
98,What are some examples of matter that chemistry is not usually concerned with?,Protons and neutrons,Subatomic particles,Quarks,Mu and tau leptons,Dark matter,C
99,What insights does physics provide?,Insights into the behavior of matter at a large scale,Insights into the behavior of matter at a molecular level,Insights into the fundamental principles of physical phenomena and the basic forces of nature,Insights into the structure and function of molecules,Insights into the behavior of matter at a small scale,C
100,What is the main benefit of high-energy X-rays?,They can be used for X-ray crystallography,They can penetrate deep into materials,They can generate beams for cancer therapy,They can be used in materials science,They can be used for electron diffraction,B
101,What is one advantage of high-energy X-rays over conventional hard X-rays?,They can penetrate several centimeters in steel,They can cause radiation damage to the sample,They have a smaller Ewald sphere curvature,They can access to diffuse scattering,They are absorption limited at low energies,A
102,What is the atomic number dependence of photo-absorption in high-energy X-rays?,It is strongly reduced,It is strongly increased,It has no effect on photo-absorption,It is absorption limited,It is extinction limited,A
103,What is a characteristic of the Ewald sphere in high-energy X-rays?,It is ten times larger than in low energy cases,It allows mapping of whole regions in a reciprocal lattice,It is absorption limited at high energies,It is equal to the low energy case,It is limited to electron diffraction,B
104,What is the volume enhancement in diffuse scattering at high-energy X-rays?,It is absorption limited,It is extinction limited,It is similar to electron diffraction,It is volume enhancement,It is absorption and not extinction limited,E
105,What is solarization?,A phenomenon where a material undergoes a temporary change in color after being subjected to high-energy electromagnetic radiation,A process where glass turns blue after long-term solar exposure in the desert,A technique used in clinical imaging to degrade the accuracy of the diagnosis,A mechanism involved in the breakdown of plastics within the environment,A process where glass turns amber or green when subjected to X-radiation,A
106,What is the cause of solarization?,Formation of internal defects called color centers,Exposure to ultraviolet light,Exposure to X-rays,Thermal bleaching,Long-term solar exposure,A
107,What can reverse color center absorption in glass?,Exposure to X-rays,Heating the glass to high temperatures,Long-term solar exposure,Formation of color centers,Photodegradation,B
108,What is the effect of solarization on clinical imaging?,Enhances the accuracy of the diagnosis,Obscures details within the X-ray image,Improves the clarity of the image,Has no effect on the diagnosis,Breaks down the plastics within the environment,B
109,What is solarization in the context of plastics?,A process where plastics turn amber or green when subjected to X-radiation,A process where plastics turn blue after long-term solar exposure in the desert,A technique used in clinical imaging to degrade the accuracy of the diagnosis,A mechanism involved in the breakdown of plastics within the environment,A phenomenon where plastics undergo a temporary change in color after being subjected to high-energy electromagnetic radiation,D
110,What is the definition of range management according to Holechek et al.?,The study of rangelands and sustainable land management practices,The manipulation of rangeland components for the benefit of society,The conservation and sustainable management of arid lands,The optimization of goods and services provided by rangelands,The study of grazing practices and rangeland vegetation for livestock,B
111,What is the historical significance of rangeland management?,It originated from nomadic grazing practices during the neolithic revolution,It was developed in response to rangeland deterioration and overgrazing,"It was first described in the 1968 ""Tragedy of the Commons""",It focuses on the manipulation of grazing and vegetation for livestock,It has been practiced throughout prehistory by hunting large game,B
112,What are some of the goods and services that rangelands provide?,"Red meat, wildlife, water, wood, fiber, leather, and energy resources","Soil protection, riparian zone enhancement, and vegetation maintenance",Outdoor recreation and sustainable range product outputs,Improvement of animal and plant production through grazing,All of the above,E
113,What are some of the threats to contemporary pastoralist cultures?,Fragmentation of land and conversion of rangeland into urban development,Lack of grazing movement and threats to global diversity,Damage to species with large terrain and decreased shared public goods,Decreased biological movements and threats of enclosures,All of the above,E
114,What is the mission of the United States Society for Range Management?,To support sustainable use of rangelands and promote collaboration,To study and improve grazing practices for livestock production,"To protect and enhance soils, watersheds, and vegetation complexes",To optimize goods and services provided by rangelands,To educate and provide resources for range management professionals,A
115,What is textile manufacturing?,The process of converting fabric into useful goods,"The process of converting fibre into yarn, then yarn into fabric",The process of dyeing or printing fabric,The process of producing cotton clothing and accessories,The process of making various industrial products,B
116,What is the most widely used natural fiber in the textile industry?,Silk,Wool,Cotton,Linen,Hemp,C
117,What are some examples of useful goods produced by textile manufacturing?,Electronics,Automobiles,Furniture,Food,Clothing,E
118,What was the textile industry like before the 18th and 19th centuries?,It was an industrial process,It was a household work,It was non-existent,It was a form of art and craft,It was focused on producing industrial products,B
119,What are the different stages involved in textile manufacturing?,Spinning and fabric-forming,Dyeing and printing,Finishing and colouration,Production of cotton clothing and accessories,Fabrication into cloth,A
120,What is a ghost surgery?,A surgery that is performed by unqualified surgeons,A surgery that is performed by licensed surgeons,A surgery that is performed by medical students,A surgery that is performed by experienced surgeons,A surgery that is performed by salesmen,A
121,When did ghost surgery start to refer to scenarios where one individual substitutes the officially credited surgeon?,In the 1970s,In the 1980s,In the 1960s,In the 1950s,In the 1990s,A
122,"According to the Lifflander Report, what percentage of surgeries in teaching hospitals were performed by residents under supervision?",5-50%,10-30%,50-95%,70-90%,30-70%,C
123,Why is ghost surgery considered unethical?,Because it is performed by qualified surgeons,Because it decreases the quality of care,Because it is necessary for medical students to gain experience,Because patients are not properly notified of the extent of participation of other individuals,Because it is performed by unqualified surgeons,D
124,In which country is ghost surgery particularly common in the cosmetic surgery industry?,United States,France,South Korea,Japan,China,C
125,What is the purpose of Terrestrial Time (TT)?,To measure time for astronomical observations made from Earth,To define the rotation of Earth,To synchronize atomic clocks worldwide,To calculate the positions of celestial bodies in the solar system,To measure time for space missions beyond Earth,A
126,Which time scale is often used for civil purposes?,Terrestrial Time (TT),Coordinated Universal Time (UTC),International Atomic Time (TAI),Terrestrial Dynamical Time (TDT),Barycentric Dynamical Time (TDB),B
127,What is the relationship between Terrestrial Time (TT) and International Atomic Time (TAI)?,TT is ahead of TAI by approximately 32.184 seconds,TT is synchronized with TAI,TT is behind TAI by approximately 32.184 seconds,TT is equal to TAI,TT is ahead of TAI by approximately 1 second,A
128,When was the terrestrial time standard adopted by the International Astronomical Union (IAU)?,XVI General Assembly,XV General Assembly,XIV General Assembly,XIII General Assembly,XII General Assembly,A
129,What is the unit of Terrestrial Time (TT)?,Second,Minute,Hour,Day,Year,A
130,What is the objective of industrial and production engineering?,To increase company profits,To automate all production processes,To improve efficiency and reduce cost,To develop new manufacturing technologies,To manage complex organizations,C
131,Who were some of the pioneers in industrial engineering?,Sir Isaac Newton,Thomas Edison,Nikola Tesla,Henry Ford,Albert Einstein,D
132,What are the three areas included in industrial and production engineering?,"Mechanical engineering, civil engineering, and electrical engineering","Computer science, chemical engineering, and materials science","Mechanical engineering, industrial engineering, and management science","Aerospace engineering, biomedical engineering, and environmental engineering","Petroleum engineering, nuclear engineering, and software engineering",C
133,When did industrial and production engineering start to widely use automation and robotics?,In the 1700s during the industrial revolution,In the 1970s,In the 1800s with the development of the assembly line,In the 1950s with the invention of the computer,In the 2000s with the rise of artificial intelligence,B
134,What disciplines are included in industrial and production engineering?,Only mechanical engineering,Only industrial engineering,"Mechanical engineering, industrial engineering, and management science",Civil engineering and electrical engineering,Computer science and materials science,C
135,What is the purpose of Particle-induced X-ray emission or proton-induced X-ray emission (PIXE)?,To determine the age of a material or sample,To determine the distribution of trace elements in a wide range of samples,To detect some light elements,To study the interactions between ions and atoms,To measure the wavelengths in the x-ray part of the electromagnetic spectrum,B
136,Who first proposed the technique of PIXE?,Sven Johansson,Roland Akselsson,Thomas B Johansson,Sven Johansson and Roland Akselsson,"Sven Johansson, Roland Akselsson and Thomas B Johansson",E
137,What additional capability does microPIXE offer compared to regular PIXE?,Ability to determine the age of a material or sample,Ability to detect some light elements,Ability to measure the wavelengths in the x-ray part of the electromagnetic spectrum,Ability to determine the distribution of trace elements in a wide range of samples,Ability to perform microscopic analysis,E
138,What are the three types of spectra that can be collected from a PIXE experiment?,"X-ray emission spectrum, Rutherford backscattering spectrum, Proton transmission spectrum","X-ray emission spectrum, Electron emission spectrum, Proton transmission spectrum","X-ray emission spectrum, Rutherford backscattering spectrum, Electron emission spectrum","Rutherford backscattering spectrum, Proton transmission spectrum, Electron emission spectrum","X-ray emission spectrum, Rutherford backscattering spectrum, Gamma-ray emission spectrum",A
139,What happens to the electrons of an atom in a PIXE experiment?,They become stable,They drop down to replace inner shell vacancies,They are bombarded with ions,They ionize the atoms in a specimen,They produce MeV protons,B
140,When was Pakathon founded?,2013,2014,2015,2016,2017,A
141,How many global chapters does Pakathon have?,Four,Six,Eight,Ten,Twelve,C
142,Which sectors does Pakathon aim to solve problems in?,Technology and finance,Education and healthcare,Transportation and construction,Agriculture and manufacturing,Entertainment and hospitality,B
143,What is Pakathon's flagship event?,Conference,Exhibition,Workshop,Hackathon,Competition,D
144,What is the name of the innovation conceived by Pakathon's first winning team?,ProCheck,MediTrack,PharmaVerify,AuthentiCode,Track-Med,A
145,What is the main purpose of FASTRAD?,To calculate radiation effects on electronics,To design mechanical systems for space,To analyze high energy physics experiments,To optimize medical devices,To model nuclear experiments,A
146,When was FASTRAD created?,1999,2009,1989,1979,2019,A
147,What is one application area of FASTRAD?,Aerospace engineering,Chemical analysis,Digital marketing,Radiation therapy,Quantum computing,D
148,What has been continuously improved in satellite manufacturing?,Battery life,Communication systems,Radiation hardness assurance,Solar panel efficiency,Mechanical design,C
149,What tends to increase the sensitivity of space systems to radiation?,Increasing power/mass ratio,Decreasing the size of electronic devices,Improving mechanical design,Optimizing radiation shielding,Enhancing communication systems,B
150,When was the Anthropocene Working Group (AWG) established?,2000,2002,2009,2010,2012,C
151,Who is the Secretary of the AWG?,Paul Crutzen,Simon Turner,Colin Neil Waters,Eugene Stoermer,William Ruddiman,B
152,"Who popularized the word ""Anthropocene""?",Paul Crutzen,Simon Turner,Colin Neil Waters,Eugene Stoermer,William Ruddiman,A
153,What is the main goal of the AWG?,To study the Holocene,To study the Geologic time scale,To provide scientific evidence for the Anthropocene,To promote the neolithic revolution,To debate the Early Anthropocene Hypothesis,C
154,What was the topic of Paul Crutzen's influential article published in 2002?,The Holocene,The neolithic revolution,The Anthropocene,The Industrial Revolution,The European Colonization of the Americas,C
155,What is a space frame?,A lightweight structure made of wood,A rigid truss-like structure made of interlocking struts,A flexible structure made of steel cables,A solid structure made of concrete,A hollow structure made of glass panels,B
156,What is the advantage of using space frames?,They are easy to construct,They require many interior supports,They are not strong enough to withstand bending moments,They can span large areas with few interior supports,They are heavy and difficult to transport,D
157,Who developed space frames based on tetrahedral geometry?,Max Mengeringhausen,Alexander Graham Bell,Stéphane de Chateau,Pyramitec,Unibat system,B
158,What is the commonly used method to connect tubular members in a space frame?,Welding,Screwing,Brazing,Bolting,Node joints,E
159,Who invented the Tridirectional SDC system?,Max Mengeringhausen,Alexander Graham Bell,Stéphane de Chateau,Pyramitec,Unibat system,C
160,What is product engineering?,The process of designing and developing a device for sale,The process of manufacturing a product,The process of marketing a product,The process of shipping a product,The process of repairing a product,A
161,What are some of the characteristics sought in a product engineering process?,"Cost, quality, and performance","Durability, serviceability, and lifespan",User features and market attractiveness,Reliability and producibility,All of the above,E
162,What is included in product engineering?,Concept development and design of hardware and software components,Manufacturing and packaging design,Transitioning to high volume production,All of the above,None of the above,D
163,What is the role of a product engineer?,To drive fulfillment during ramp-up and volume production,To improve product quality and reliability,To balance cost of tests and tests coverage,All of the above,None of the above,D
164,What tools and software do product engineers use?,20/20 and AutoCad,CATIA and Solidworks,Unigraphics and Labview,JMP and DataConductor,All of the above,E
165,What is risk analysis?,A technique used to identify and assess factors that may jeopardize the success of a project,A technique used to analyze revenue and costs in a software company,A technique used to develop preventive measures for business processes,A technique used to manage the risk of specialization in software development,A technique used to forecast future revenue for a company,A
166,What is the facilitated risk analysis process (FRAP)?,A method to precisely quantify risks in the computer field,A method to estimate the potential customer base for a software firm,"A method to analyze one system, application, or segment of business processes",A method to develop controls to mitigate risks,A method to calculate the value of additional information in risk analysis,C
167,What are some risks that a software company may face?,Unexpected changes in costs from those budgeted,Privacy and intellectual property right problems,Unit sales that are less than forecasted,All of the above,None of the above,D
168,What is one risk associated with narrow specialization of software?,Increased unit costs of software,Decreased potential customer base,Both A and B,None of the above,More rework than anticipated,C
169,What is one method that improves on risk analysis methods?,Benefit risk,Optimism bias,Reference class forecasting,Extreme risk,Applied information economics,E
170,"What is the origin of the word ""algebra""?",Greek,Persian,Arabic,Latin,Chinese,C
171,What did algebra consist of until the 19th century?,Solving equations,Computing arithmetic operations,Manipulating non-numerical mathematical objects,Exploring geometric properties,Calculating derivatives,A
