id,prompt,A,B,C,D,E,answer
20,What is the name of the humanoid social robot modelled on Professor Nadia Magnenat Thalmann?,Nadia Thalmann,Nadine Thalmann,Professor Nadine,Nadia Magnenat,Nadine Magnenat,B
21,What are some features that make Nadine look like a human?,Artificial Intelligence,Realistic hands,Virtual Reality,Robot programming,Natural-looking skin and hair,E
22,What can Nadine do in terms of conversation?,Speak multiple languages,Remember all conversations,Recognize people,Change its personality,All of the above,E
23,How many degrees of freedom does Nadine have for facial expressions and upper body movements?,7,15,27,35,47,C
24,What is one of the main characteristics of Nadine's programming?,Simulating emotions,Artificial intelligence,Speech recognition,Voice synthesis,Conversation flow,A
25,What is the purpose of ISO 22715?,To determine what products are considered cosmetic,To regulate the packaging and labeling of cosmetic products,To provide guidelines for the manufacturing of cosmetic products,To determine the national regulations for cosmetic products,To determine the level of standards within the cosmetic industry,B
26,When was ISO 22715 initially published?,6-Apr,5-Mar,7-May,8-Feb,10-Jan,A
27,What types of products does ISO 22715 apply to?,Cosmetic products that are sold or given away as free samples,All types of cosmetic products,Only cosmetic products that are sold,Only cosmetic products that are given away as free samples,None of the above,A
28,How many standards are devoted to the cosmetic industry sector?,10,15,20,25,26,E
29,Who determines what products are considered cosmetic?,ISO 22715,The manufacturers,The national regulations,The consumers,The cosmetic industry sector,C
30,What was the original name of the Yilan Brick Kiln?,Taiwan Brick Kiln,Chen He Cheng Kiln Factory,Yilan County Kiln Factory,Beijin Brick Kiln,Yilan City Kiln Factory,B
31,When did the Yilan Brick Kiln end its operation?,1831,1980s,1999,Yilan County Government,local residents,B
32,What was the proposed plan for the kiln in 1999?,Brick production expansion,Residential buildings,Tourist attraction,Commercial complex,Industrial park,B
33,What is the architectural shape of the Yilan Brick Kiln?,Circular,Square,Triangular,Oval,Rectangular,E
34,What type of roof does the kiln have?,Thatched roof,Metal roof,Wooden roof,Glass roof,Brick domed roof,E
35,Who is Hasan bey Zardabi?,Azerbaijani journalist and intellectual,Founder of the first Azeri-language newspaper,Founder of the Natural History Museum in Baku,Famous Azerbaijani artist,Azerbaijani politician,A
36,What are the two departments of the Hasanbey Zardabi Natural History Museum?,Geography and Anthropology,Zoology and Botany,Archaeology and Paleontology,Geology and Zoology,Mineralogy and Astronomy,D
37,What is the oldest exhibit in the museum?,A 120 million years old ichthyosaur skeleton,A collection of plant species,"Fossilized skeletons of horses, deer, gazelles, and saigas",Fragments of animal bones found during fieldwork,Samples of metallic and nonmetallic natural resources,A
38,What is the main focus of the museum's research activities?,Studying primitive people,Investigating Azokh cave and other archaeological sites,Paleontological sites and quaternary fauna,Exploring the Eldar late Sarmatian hipparion faunas,Analyzing the geological formations of Azerbaijan,C
39,How many species of mammals are there in the collection of the quaternary fauna of Binagadi?,23 species,41 species,110 species,107 species,2 species,B
40,What is a buffer overflow?,A situation where a program reads data from a buffer beyond the buffer's allocated memory,A situation where a program writes data to a buffer beyond the buffer's allocated memory,A situation where a program deletes data from a buffer beyond the buffer's allocated memory,A situation where a program moves data from one buffer to another,A situation where a program resizes a buffer's allocated memory,B
41,What causes buffer overflows?,Sending malformed inputs to a program,Creating buffers of a certain fixed size,Using a specific programming language,Moving data between different sections of a program,Triggering an anomalous transaction,A
42,What can be the consequences of a buffer overflow?,"Erratic program behavior, memory access errors, and crashes",Incorrect results and data corruption,Privilege escalation and unlimited access to computer resources,Overwriting adjacent data or executable code,Replacing the program's state with malicious code,A
43,Which programming languages are commonly associated with buffer overflows?,Python and Java,C and C++,Ruby and JavaScript,C# and Visual Basic,PHP and Perl,B
44,How can buffer overflows be used as a security exploit?,By resizing the allocated memory of a buffer,By deleting adjacent data to create memory access errors,By rewriting the program's state with unintended behavior,By moving data between different parts of a program,By overwriting areas of memory known to hold executable code,E
45,What is the purpose of the manufacturing readiness level (MRL)?,To assess the maturity of technology readiness,To assess the maturity of manufacturing readiness,To assess the capabilities of possible suppliers,To improve acquisition outcomes,To assess the maturity of a given technology from a manufacturing perspective,B
46,Who developed the manufacturing readiness level (MRL)?,Government Accountability Office (GAO),United States Department of Defense (DOD),Technology Readiness Levels (TRL),Major acquisition programs,Potential contractors and subcontractors,B
47,What did the GAO describe the manufacturing readiness level (MRL) as?,A best practice for improving acquisition outcomes,A measure to assess the maturity of manufacturing readiness,A mandatory requirement in major acquisition programs,A quantitative measure used to assess the maturity of technology,A common understanding of manufacturing technologies,A
48,When did the United States Department of Defense (DOD) adopt the usage of MRLs?,2005,2011,2000,1995,2015,A
49,What is the purpose of considering manufacturing readiness and related processes of potential contractors and subcontractors in major acquisition programs?,To assess the maturity of a given technology from a manufacturing perspective,To improve acquisition outcomes,To assess the capabilities of possible suppliers,To provide decision makers with a common understanding of manufacturing technologies,To assess the relative maturity and attendant risks associated with manufacturing technologies,C
50,What is concrete in perfumery?,A liquid obtained from plant material,A waxy mass obtained from plant material,A solid obtained from plant material,A powder obtained from plant material,A gel obtained from plant material,B
51,What are some popular flowers used to produce concretes?,Tulips and daffodils,Lilies and orchids,Rose and lavender,Sunflowers and daisies,Tuberose and jonquil,C
52,What remains after the solvent is evaporated from the concrete?,Only essential oils,Only waxes,Only resins,Only oil-soluble plant chemicals,"Essential oils, waxes, resins, and other oil-soluble plant chemicals",E
53,How can the yield of the concrete be increased?,By using a polar solvent,By increasing the boiling point of the solvent,By treating the plant material with solvents at high pressure,By using a nonpolar solvent,By extracting the concrete with ethanol,C
54,What is the main use of concrete in perfumery?,As a base for perfumes,To produce essential oils,To produce absolutes,To extract fragrance ingredients,For cold filtration,C
55,What is a production line?,A set of sequential operations established in a factory where components are assembled to make a finished article,A process where raw materials are refined to produce an end-product,A method used to distribute production across multiple sites,A technique used in the industrial revolutions of Europe and North America,A concept introduced by Eli Whitney to improve efficiency,A
56,What were the early constraints on production processes?,Availability of raw materials,Availability of manpower,Availability of wind and water mills,Availability of steam engines,Availability of machinery,C
57,What was the significance of the steam engine in production?,It made production less reliant on the location of the power source,It allowed for the concentration of people in manufactories,It led to the development of assembly lines,It spurred the industrial revolutions of Europe and North America,It enabled the refining of raw materials,A
58,Who introduced the concept of the assembly line?,Eli Whitney,Henry Ford,Richard Arkwright,Eli Whitney and Henry Ford,"No one, it developed naturally",B
59,What was the innovation introduced by Henry Ford in 1913?,Continuous movement of cars being assembled past individual workstations,Introduction of steam power in production,Combining different treatment stages in the same building,Development of machinery to replace people,Refining of raw materials in the same location as the source material,A
60,What is complexity theory?,The study of complex adaptive organizations,The study of uncertainty and non-linearity,The study of interactions and feedback loops in systems,The study of how organizations adapt to their environments,The study of order-generating rules,C
61,How can organizations be described?,As static entities,As aggregations of individual entities,As self-organizing networks,As ordered systems,As chaotic systems,C
62,What are the key principles of complex adaptive systems?,"Self-organization, complexity, emergence","Interdependence, space of possibilities, co-evolution","Chaos, self-similarity",All of the above,None of the above,D
63,What is the relationship between complex adaptive systems and ordered/chaotic systems?,Complex adaptive systems are similar to ordered systems,Complex adaptive systems are similar to chaotic systems,Complex adaptive systems have a different relationship with agents,Complex adaptive systems have no relationship with agents,None of the above,C
64,What are some application areas of complexity theory in organizations?,Understanding how organizations adapt to their environments,Understanding how organizations cope with uncertainty,Understanding the complex structures of organizations,All of the above,None of the above,D
65,What is the definition of genotype?,The observable traits and characteristics in an individual or organism,The complete set of genetic material in an organism,The number of alleles an individual carries in a particular gene,The number of copies of each chromosome found in a species,The degree to which genotype affects phenotype,B
66,What determines the number of alleles an individual can have in a specific gene?,The number of chromosomes in an individual,The number of copies of each chromosome in a species,The number of genes in an individual,The number of alleles already present in a gene,The degree to which genotype affects phenotype,B
67,What is the genotype referred to as if an individual has two identical alleles for a given gene?,Homozygous,Heterozygous,Phenotype,Ploidy,Genotype,A
68,What is the genotype referred to as if an individual has two different alleles for a given gene?,Homozygous,Heterozygous,Phenotype,Ploidy,Genotype,B
69,What is phenotype?,The observable traits and characteristics in an individual or organism,The complete set of genetic material in an organism,The number of alleles an individual carries in a particular gene,The number of copies of each chromosome found in a species,The degree to which genotype affects phenotype,A
70,What is one of the privacy concerns faced by Meta Platforms Inc.?,Sharing user information with government agencies,Selling user data for advertisement targeting,Exposing vulnerabilities in the company__ platform,Being involved in data breaches,Using Meta Platforms Inc. for personal purposes,B
71,Which revenue model involves selling user information?,Meta Platforms Inc.,Facebook,Pressure groups,Government agencies,Employers,A
72,What is one of the vulnerabilities in Meta Platforms Inc. platform?,Privacy concerns,Data breaches,Investigations by pressure groups,Issues with students,Exposing user data,E
73,Who has investigated Meta Platforms Inc.?,Government agencies,Pressure groups,Employers,Individuals,Meta Platforms Inc. itself,B
74,Who uses Meta Platforms Inc. for their own purposes?,Government agencies,Pressure groups,Employers,Individuals,Meta Platforms Inc. itself,C
75,What was the purpose of the experimental project conducted by the Strategic Capabilities Office of the United States Department of Defense?,To develop autonomous micro-drones for unmanned aerial surveillance,To study the capabilities of conventional drones,To test the efficiency of air defense systems,To improve the surveillance capabilities of large drones,To explore the possibility of using micro-drones for military purposes,A
76,Who pioneered the idea of intelligent micro-drones?,United States Department of Defense,A group of students from MIT,Massachusetts Institute of Technology,Strategic Capabilities Office,Aeronautics and Astronautics Department,B
77,Why is it tactically advantageous to have multiple micro-drones?,They are harder to detect by air defense systems,They have higher surveillance capabilities than large drones,They are cheaper to produce than conventional drones,They are more durable and can withstand harsh conditions,"They are controlled by a collective ""brain""",A
78,When was the first operational test of the militarized Perdix drones conducted?,2011,2013,2014,2015,2016,C
79,Where were the Perdix drones dropped from in the joint effort with the US Naval Air Systems Command?,Edwards Air Force Base,Alaska,F/A-18 Super Hornet fighter jets,"China Lake, California",US Naval Air Systems Command,C
80,What is the Teichm眉ller__ukey lemma?,A lemma in mathematics that states that every nonempty collection of finite character has a maximal element with respect to inclusion.,A lemma in mathematics that states that every set has a maximal element with respect to inclusion.,A lemma in mathematics that states that every finite set has a maximal element with respect to inclusion.,A lemma in mathematics that states that every set has a minimal element with respect to inclusion.,A lemma in mathematics that states that every nonempty collection of finite character has a minimal element with respect to inclusion.,A
81,Who is the Teichm眉ller__ukey lemma named after?,John Tukey,Oswald Teichm眉ller,Both John Tukey and Oswald Teichm眉ller,Neither John Tukey nor Oswald Teichm眉ller,John Teichm眉ller and Oswald Tukey,C
82,What is a family of sets of finite character?,A family of sets that contains only finite sets,A family of sets that contains only infinite sets,A family of sets that has a finite number of elements,A family of sets that has the property that every finite subset of any set in the family also belongs to the family,A family of sets that has the property that every infinite subset of any set in the family also belongs to the family,D
83,What is the statement of the Teichm眉ller__ukey lemma?,"If a family of sets is of finite character and contains a given set X, then there is a maximal set Y (according to the inclusion relation) in the family such that X is a subset of Y.","If a family of sets is of finite character and contains a given set X, then there is a minimal set Y (according to the inclusion relation) in the family such that X is a subset of Y.","If a family of sets is of infinite character and contains a given set X, then there is a maximal set Y (according to the inclusion relation) in the family such that X is a subset of Y.","If a family of sets is of infinite character and contains a given set X, then there is a minimal set Y (according to the inclusion relation) in the family such that X is a subset of Y.","If a family of sets is of finite character and contains a given set X, then there is a maximal set Y (according to the exclusion relation) in the family such that X is a subset of Y.",A
84,What is an application of the Teichm眉ller__ukey lemma in linear algebra?,Showing the existence of a basis for a vector space,Showing the existence of a linear transformation,Showing the existence of a linearly dependent set of vectors,Showing the existence of a linearly independent set of vectors,Showing the existence of a subspace,A
85,What is dual modular redundancy (DMR)?,DMR is a system where components are duplicated to provide redundancy in case of failure.,DMR is a technique used to correct errors in fault-tolerant computer systems.,DMR is a voting circuit used in lockstep fault-tolerant machines.,DMR is a method to determine which component is correct and which is malfunctioning.,DMR is an old adage used in reliability engineering.,A
86,What does dual modular redundancy (DMR) provide?,DMR provides error detection in case instruments or computers give different results.,DMR provides redundancy to prevent failure of one component.,DMR provides error correction to automatically determine which component is malfunctioning.,DMR provides robustness to the failure of one component.,DMR provides reliability engineering techniques.,D
87,What is the purpose of a voting circuit in a lockstep fault-tolerant machine?,To compare the outputs of replicated elements.,To determine the correct state of each replication.,To provide redundancy in case of failure.,To detect errors in instruments or computers.,To carry on the work of a failed node in a complex computer system.,A
88,What is the old adage related to dual modular redundancy?,Never go to sea with two chronometers; take one or three.,Never rely on duplicated nodes in a complex computer system.,Always use lockstep fault-tolerant machines in reliability engineering.,Always have at least three replicated elements operating in parallel.,Always compare the outputs of replicated elements using a voting circuit.,A
89,What is the role of lockstep fault-tolerant machines?,To provide redundancy in case of failure.,To automatically determine which component is malfunctioning.,To compare the outputs of replicated elements.,To detect errors in instruments or computers.,To carry on the work of a failed node in a complex computer system.,C
90,What is Edwin Steinbrecher known for?,Being a famous mathematician,Being a professional athlete,Being an astrologer and teacher,Being a famous chef,Being a renowned painter,C
91,What is the title of Edwin Steinbrecher's book?,The Art of Cooking,The Science of Astrology,The Ultimate Guide to Meditation,The History of Mathematics,The Philosophy of Painting,C
92,Who taught Edwin Steinbrecher the language of astrology?,His mother,His aunt and godmother,His father,His uncle,His brother,B
93,In which city was Edwin Steinbrecher born?,Chicago,New York,Los Angeles,Miami,Houston,A
94,What did Edwin Steinbrecher do while serving in the Army?,He was a chef,He was a mathematician,He was a painter,He was a medic,He was a musician,D
95,What is a cover in abstract algebra?,A map between mathematical structures,A concept in topology,A property of inverse semigroups,A result in module theory,A cover in abstract algebra does not exist,A
96,What additional property does the E-unitary cover in inverse semigroup theory have?,Surjectivity,Idempotency,Separation of idempotents,Kernel equivalence class,Non-idempotency,C
97,What is the Frattini cover in algebra?,A covering theorem for orthodox semigroups,A concept in module theory,A cover for a profinite group,A cover for a Lie group,A cover in algebra does not exist,C
98,What is an F-cover in module theory?,A family of modules over a ring,A surjective homomorphism from a module,A unique isomorphism of modules,A property of endomorphisms,A cover in module theory does not exist,B
99,What is the uniqueness property of an F-cover in module theory?,Non-uniqueness,Isomorphism,Surjectivity,Ring homomorphism,Uniqueness up to isomorphism,E
100,What is a format war?,A competition between companies for market dominance,A competition between companies for financial gain,A competition between companies for technological advancement,A competition between companies for political power,A competition between companies for consumer satisfaction,A
101,What factors can contribute to the emergence of a format war?,Political and financial influence on content publishers,Interoperable open-industry technical standards,Social forces to stop the format war,Coordination problem for format users,Cross-side network effects in a two-sided market,A
102,What was the outcome of the Gauge War in Britain?,The Great Western Railway adopted standard gauge,Other rail companies adopted broad gauge,Standard gauge and broad gauge remained incompatible,Standard gauge and broad gauge were merged into a new standard,Standard gauge and broad gauge became interchangeable,A
103,What was the main difference between railroads built to standard gauge and those built to Russian gauge?,Standard gauge was wider than Russian gauge,Standard gauge was narrower than Russian gauge,Standard gauge was longer than Russian gauge,Russian gauge was wider than standard gauge,Russian gauge was narrower than standard gauge,D
104,"During the initial period of railroad building in the United States, which gauge was adopted in most of the northeastern states?",Standard gauge,Broad gauge,Russian gauge,Narrow gauge,Wide gauge,A
105,What is the purpose of planetary engineering?,To explore other planets in the solar system,To influence the environment of a planet,To study the geological formations of other planets,To capture and study extraterrestrial life,To develop new technologies for space exploration,B
106,What does terraforming refer to?,The development of technology for influencing the environment of a planet,The introduction of life from Earth to habitable planets,The alteration of other planets to create a habitable environment for terrestrial life,The engineering of a planet's climate,"The modification of the atmosphere, temperature, surface topography or ecology of a planet",C
107,Which planet is commonly discussed in relation to terraforming?,Mercury,Venus,Mars,Jupiter,Saturn,C
108,What would be necessary to terraform Mars?,Creating a new atmosphere with more greenhouse gases,Removing all carbon dioxide from the planet,Introducing more oxygen to the planet,Increasing the atmospheric pressure,Creating new landforms on the planet,A
109,Which method of planetary engineering has already been applied on Earth?,Terraforming,Seeding,Geoengineering,Creating new technologies,None of the above,C
110,What is the concept that underlies the biological organization of life?,Emergence,Reductionism,Hierarchy,Ecology,Organic structure,A
111,Which scientific fields heavily rely on the biological organization of life?,Physics and chemistry,Ecology and environmental science,Anthropology and sociology,Geology and geography,Linguistics and literature,B
112,Why is the study of the effects of physical and chemical phenomena on diseases and physiology important?,It helps in understanding the brain structure,It allows for the development of new drugs,It helps in finding the root causes of diseases,It enables the study of cognitive and behavioral neuroscience,It aids in understanding ecological interactions,C
113,What is the basic unit of biological structures and systems?,Cells,Atoms,Biospheres,Emergence,Organisms,A
114,What is the term used to describe the higher levels of the biological organization scheme?,Ecology,Reductionism,Emergence,Hierarchical ecology,Organisational complexity,D
115,When was the Mars 3 spacecraft launched?,28-May-71,2-Dec-71,1-Jun-71,15-Sep-71,12-Nov-71,A
116,What was the primary purpose of the Mars 3 orbiter?,To study the topography of the Martian surface,To analyze the soil composition of Mars,To measure various properties of the atmosphere,"To monitor solar radiation, the solar wind, and magnetic fields",To serve as a communications relay,E
117,What happened to the Mars 2 lander?,It successfully landed on Mars,It crashed on the Martian surface,It failed 110 seconds after landing,It transmitted a gray image with no details,It became the first spacecraft to attain a soft landing on Mars,B
118,What was the on-orbit dry mass of the Mars 3 spacecraft?,"4,650 kg (10,250 lb)","3,440 kg (7,580 lb)","1,210 kg (2,670 lb)","2,265 kg (4,993 lb)",Not mentioned in the text,D
119,What was the dimensions of the Mars 3 spacecraft with solar panels deployed?,"4.1 m (13.5 ft) tall, 2 m (6.6 ft) across","5.9 m (19.4 ft) tall, 2 m (6.6 ft) across","13.5 m (44.3 ft) tall, 6.6 m (21.6 ft) across","2.5 m (8.2 ft) tall, 3 m (9.8 ft) across",Not mentioned in the text,B
120,What is a superintelligence?,A hypothetical agent that possesses intelligence far surpassing that of the brightest and most gifted human minds,A property of problem-solving systems that can outperform humans in various tasks,A program that can play chess better than humans,A technological singularity associated with an intelligence explosion,An intelligence that greatly exceeds the cognitive performance of humans in virtually all domains of interest,A
121,How does Nick Bostrom define superintelligence?,An intellect that greatly exceeds the cognitive performance of humans in virtually all domains of interest,An artificial intelligence that can outperform humans in various tasks,A program that can play chess better than humans,A hypothetical agent that possesses intelligence far surpassing that of the brightest and most gifted human minds,A property of problem-solving systems that can outperform humans in various tasks,A
122,"According to Bostrom, what is the difference between Fritz and superintelligence?",Fritz can outperform humans in all domains of interest while superintelligence is limited to chess,Fritz is a superintelligence while superintelligence is a property of problem-solving systems,Fritz is an artificial intelligence while superintelligence refers to the intelligence explosion and technological singularity,Fritz falls short of the conception of superintelligence as it cannot outperform humans in other tasks,Fritz is a general dominance at goal-oriented behavior while superintelligence involves capacities such as intentionality,D
123,What is the Chinese room argument?,A debate about the possibility of creating superintelligence,A discussion on the hard problem of consciousness,A critique of the idea that an artificial intelligence can possess intentionality,An argument against the concept of human-level artificial intelligence,An objection to the idea that superintelligence can be achieved through an intelligence explosion,C
124,Do all technological researchers agree on the likelihood of surpassing human intelligence?,"Yes, all technological researchers believe human intelligence will be surpassed","No, there is widespread disagreement among technological researchers",Only a few technological researchers believe human intelligence will be surpassed,Technological researchers are uncertain about the likelihood of surpassing human intelligence,"Technological researchers believe human intelligence will be surpassed, but not in the near future",B
125,What is a characteristic of real-time games?,Players perform actions simultaneously,Players take turns sequentially,Players can only act at specific moments,Real-time games have a fixed time limit,Real-time games have a variable time limit,A
126,Which game is mentioned as an example of a real-time game?,Terraria,Minecraft,The Sims,World of Warcraft,Fortnite,A
127,What additional challenges does real-time gameplay introduce?,Time management considerations,Resource management considerations,Strategy planning considerations,Physical coordination considerations,Social interaction considerations,D
128,What is the dominant form of time-keeping in simulation video games?,Real-time,Turn-based,Variable time,Fixed time,Simultaneous,A
129,What is a limited notion of turns found in some sports?,Free kick in soccer,Free throw in basketball,Shot clock in basketball,All of the above,None of the above,D
130,Who initially developed NEdit?,Mark Edel,Richard Stallman,Linus Torvalds,Larry Page,Tim Berners-Lee,A
131,Which license is NEdit distributed under?,GPL-3.0,GPL-2.0,MIT,Apache-2.0,BSD-3-Clause,B
132,What is NEdit extensible through?,Python,Ruby,C-like macro language,JavaScript,Java,C
133,What toolkit is used to build NEdit's user interface?,Qt,GTK+,X Window System,Motif,Swing,D
134,When was the latest version of NEdit released?,2017,2015,2014,2013,2012,C
135,What is the purpose of a sitemap?,To list pages of a website within a domain,To provide a systematic view of a website for visitors,To help search engines find and index pages,To organize pages alphabetically,To help web developers publish lists of links,C
136,What are the three primary kinds of sitemaps?,"Sitemaps for planning a website, human-visible listings, and structured listings","Sitemaps for users, sitemaps for software, and XML sitemaps","Sitemaps for designers, hierarchical listings, and structured listings","Sitemaps for search engines, sitemaps for users, and XML sitemaps","Sitemaps for web crawlers, sitemaps for designers, and human-visible listings",B
137,Why are user-visible sitemaps helpful?,They provide an overview of a site's content at a single glance,They act as a navigation aid for visitors,They help visitors find specific pages,They can be used by web crawlers,All of the above,E
138,What is the purpose of an XML sitemap?,To list the pages of a site and their relative importance,To help search engines find pages that are not accessible through links,To provide a structured format for websites,To be included in the robots.txt file,All of the above,E
139,What is the Sitemaps protocol?,A protocol introduced by Google for web developers,A protocol for organizing sitemaps alphabetically,A protocol for creating user-visible sitemaps,A protocol for publishing lists of links from across websites,A protocol for web crawlers to find dynamic pages,A
140,What is the purpose of a relief valve?,To control the flow of pressurized fluid,To maintain a constant pressure in a system,To prevent explosion or fire in a system,To ensure equipment failure does not occur,To divert excess pressure from a system,E
141,How does a relief valve work?,By opening at a predetermined set pressure,By monitoring the pressure inside a vessel,By reducing the pressure in a system,By controlling the flow of flammable fluids,By preventing rainwater ingress in a system,A
142,What happens when the set pressure of a relief valve is exceeded?,The valve closes and stops the flow of fluid,The pressure inside the vessel continues to rise,The valve becomes the path of least resistance,The pressure in the system is maintained at a constant level,The valve releases naked combustion gases into the atmosphere,C
143,What happens to the diverted fluid in a relief valve system containing flammable fluids?,It is burned in a central gas flare,"It is captured by a low pressure, high-flow vapor recovery system",It is released into the atmosphere through a discharge pipework,It is recirculated back into the system,It is stored in a separate container for later use,A
144,What is the purpose of a flare header or relief header in a relief valve system?,To prevent rainwater ingress in the system,To control the flow of flammable fluids,To release excess pressure into the atmosphere,To recapture the diverted fluid,To burn the diverted fluid in a central gas flare,E
145,What is CRISPR gene editing?,A technique to modify the genomes of living organisms,A technique to modify the genomes of bacteria,A technique to create new medicines,A technique to control pathogens and pests,A technique to treat inherited genetic diseases,A
146,How is CRISPR gene editing performed?,By delivering the Cas9 nuclease complexed with a synthetic guide RNA into a cell,By delivering the Cas9 nuclease into a bacterial cell,By delivering the Cas9 nuclease into a human cell,By delivering the Cas9 protein into a cell,By delivering the gRNA into a bacterial cell,A
147,What are the applications of CRISPR gene editing?,Creating new medicines,Modifying agricultural products,Controlling pathogens and pests,Treating inherited genetic diseases,All of the above,E
148,What is the significance of CRISPR gene editing?,"Enables editing genomes in vivo very precisely, cheaply, and easily","Enables editing genomes in vitro very precisely, cheaply, and easily",Enables editing genomes in vivo but not in vitro,Enables editing genomes in vitro but not in vivo,Enables editing genomes in vivo but at a high cost,A
149,What is the controversy surrounding CRISPR gene editing?,Its use in human germline genetic modification,Its use in creating new medicines,Its use in modifying agricultural products,Its use in treating inherited genetic diseases,Its use in controlling pathogens and pests,A
150,What is the third-order intercept point (IP3 or TOI) in telecommunications?,A measure for weakly nonlinear systems and devices,A measure for strongly nonlinear systems and devices,A measure for linear systems and devices,A measure for linear amplifiers and mixers,A measure for receivers and linear amplifiers,A
151,What is the basis of the third-order intercept point concept?,Taylor series expansion,Damage threshold of the device,Mathematical modeling,Low-order polynomial,Nonlinear products,E
152,What are the two different definitions for intercept points?,Based on harmonics and based on intermodulation products,Based on linearity and based on nonlinearity,Based on weakly nonlinear systems and strongly nonlinear systems,Based on linear amplifiers and mixers,Based on Taylor series expansion and mathematical modeling,A
153,How are the nonlinear products caused by third-order nonlinearity related to the linearly amplified signal in the third-order intercept point?,They are equal to the linearly amplified signal,They are proportional to the linearly amplified signal,They are inversely proportional to the linearly amplified signal,They are unrelated to the linearly amplified signal,They are larger than the linearly amplified signal,B
154,What does the intercept point correspond to?,A practically occurring physical power level,The maximum power level a device can handle,The minimum power level a device can handle,A purely mathematical concept,The damage threshold of the device,D
155,What is an oil spill?,The release of a liquid petroleum hydrocarbon into the environment,The release of natural gas into the environment,The release of water into the environment,The release of solid waste into the environment,The release of radioactive material into the environment,A
156,Where do oil spills usually occur?,In the air,On land,Underground,In the ocean or coastal waters,In rivers and lakes,D
157,What causes oil spills?,Natural disasters,Human activity,Climate change,Animal behavior,Volcanic eruptions,B
158,What are the consequences of an oil spill?,Positive impact on the environment,No impact on society,Negative impact on society,Decrease in marine life,Increase in oil supply,C
